                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88627,                0.33482,                 1.0855,                0.97665,                0.94158,                0.97137,                0.67895,                    nan,                    nan,                    nan,             0.00066616,             0.00066616,             0.00066616
                      2,                0.94281,                0.37699,                 1.1182,                0.97704,                0.93527,                0.96829,                0.66793,                    nan,                    nan,                    nan,                0.00128,                0.00128,                0.00128
                      3,                0.97963,                0.40438,                 1.1377,                0.96748,                0.93246,                0.96746,                0.66966,                    nan,                    nan,                    nan,              0.0018411,              0.0018411,              0.0018411
                      4,                0.99216,                 0.4118,                  1.154,                0.97461,                0.93668,                0.96921,                0.67212,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      5,                0.98577,                0.40862,                 1.1467,                0.97662,                0.94039,                0.97044,                0.66807,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                      6,                0.96685,                0.39859,                 1.1378,                0.97786,                0.93236,                0.96665,                0.65941,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                      7,                0.94826,                0.38899,                 1.1243,                0.97647,                0.94184,                0.97113,                0.67128,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      8,                0.93606,                 0.3779,                 1.1133,                 0.9747,                0.93809,                0.97123,                0.68462,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                      9,                0.92564,                0.36997,                 1.1121,                0.97203,                0.94556,                0.97105,                0.67603,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     10,                0.91284,                0.36851,                 1.1012,                0.98467,                0.93397,                0.97301,                0.67822,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     11,                0.93591,                0.37153,                  1.113,                0.97714,                0.94418,                0.97438,                0.68647,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     12,                0.93005,                0.36559,                 1.1102,                0.97386,                0.94325,                0.97207,                0.67957,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     13,                 0.9221,                0.36142,                 1.1043,                0.97798,                0.94559,                0.97259,                 0.6809,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     14,                0.91027,                 0.3544,                 1.0983,                0.97011,                0.95122,                0.97374,                0.68647,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     15,                0.89935,                0.34848,                 1.0899,                 0.9768,                0.94805,                0.97338,                0.68474,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     16,                0.89169,                0.34485,                  1.089,                0.97705,                0.94841,                0.97292,                0.68154,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     17,                0.88099,                0.34235,                 1.0781,                0.98017,                0.95058,                0.97425,                  0.683,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     18,                 0.8683,                0.33418,                 1.0734,                0.97827,                0.95036,                0.97344,                0.68994,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     19,                 0.8603,                0.32955,                 1.0671,                0.98341,                0.94981,                0.97562,                0.68983,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     20,                0.85214,                0.32507,                 1.0637,                 0.9788,                0.95169,                0.97453,                0.68697,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     21,                0.84283,                 0.3215,                 1.0575,                0.98101,                0.94522,                0.97379,                0.68822,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     22,                0.83314,                 0.3163,                 1.0556,                0.98055,                0.94567,                0.97258,                0.68531,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     23,                0.82288,                0.31077,                 1.0489,                0.98441,                0.94798,                0.97586,                0.68998,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     24,                0.81401,                0.30693,                 1.0435,                0.98323,                0.94559,                0.97399,                0.68724,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     25,                0.78056,                0.29494,                 1.0275,                0.98137,                0.94841,                0.97627,                 0.6903,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
